garbage	reading	conf	status
t^w	רשבים	68	lowconf
irvnin	הורדתי	67	lowconf
b^n	חיל	84	applied
r.ssxa	מצפצס	92	applied
bs	על	94	applied
b^sm	לתגדל	87	applied
gdpdov),	ῥάβδον	94	applied
d^na.	כהרים	67	lowconf
&IK-&&	לא-אדם	88	applied
rnn	החת	82	applied
"ip"1	רקד	86	applied
ofjlre	of fire	96	notfound
(^itf).	אור	90	applied
vsb	לאט	75	lowconf
"Qyog,	Ὥρος	77	lowconf
visvip	קדושו	76	lowconf
iVa^o	כרמלו	91	applied
s&v	מלא	92	applied
Jield	Ποία	67	lowconf
(ITSD)	כפט	75	lowconf
bt>2	נסס	85	notfound
r^n,	היה	78	lowconf
biO'Q	מסוס	88	notfound
ep^a	מסס	84	applied
bbb	נסס	91	applied
bb'3	נסס	90	applied
bbb	נסס	91	applied
bbb	נסס	81	applied
bbtt	מסס	93	applied
oob	נסס	89	applied
qpei'ycov,	φεύγων	96	applied
ano qiloybs xcHO/ueVi/?,	ἀπὸ φλογὸς καιομένης	92	italic
ance.	ΔΏΟΘ	86	notfound
nxifis	נחרצה	79	lowconf
(otxovft&tj).	οἰκουμένη	93	applied
^QX	אפר	74	lowconf
nst	זעם	81	applied
^QK	אפר	76	lowconf
ost	זעם	89	applied
r&s)	בלה	90	applied
^rtuJx,	ΩΝ	67	lowconf
fc^EStt)	שכמכם	69	lowconf
(anb rav	ἀπὸ τῶν	96	applied
IEE *a-E % tfAe	6 0 מבנל שמן	71	lowconf
^as	פנר	75	lowconf
ori	ΟΙ	77	lowconf
nwb "n^pfi	חקשיבי לישה	88	applied
^prt	הקשיב	91	applied
n^a	ב"ת	88	applied
niras.	ענתות	81	notfound
tts,	ΤΊΣ	81	applied
-ras	עמד	92	halfword
ti'*n	היום	76	lowconf
VP:Z	ציון	93	notfound
r,soa ;	מסעף	78	lowconf
'nxQ	פאר	85	applied
a^naa'	גבח"ם	68	lowconf
T^nx	אדיר	84	applied
(szkv	מלכא	83	applied
(jvwae&s	γνώσεως	96	applied
evGsfisias)	εὐσεβείας	95	applied
mninx^a	ביראתיהוה	90	notfound
o/a	οΓ ἃ	88	applied
stB'n	רשע	96	applied
bi^a-w,	ארמילוס	87	applied
Tian	הגור	69	lowconf
(Ifttopfro?).	ἐζωσμένος	90	applied
isia	גר	65	lowconf
fia	בם	91	applied
sru	נהג	83	applied
y.riaig	χτισις	68	lowconf
STI^ISE	מאגרה	82	applied
^n'tf.	אפר	75	lowconf
iah	חטר	82	applied
Q%a /lafiid	ῥίζα Δαβίδ	92	applied
(rov foi^ai),	τοῦ δεῖξαι	95	applied
mspb	לקנות	93	applied
fyl&aat,	ζηλῶσαι	94	applied
nispb	לקנות	92	applied
a^ior,	σημεῖον	84	applied
tioned	מס	76	lowconf
universa	8 6טותט	68	lowconf
rrjiTi	התוה	71	lowconf
rsTia	מודעת	86	applied
r.stpa	מידעת	87	applied
r.5B^a	מרפעת	79	lowconf
oppos	ΟΡΡΟΒ	68	lowconf
KtBa,	מישא	71	lowconf
Ifj^fia	λῆμμα	95	applied
visio.	υἱδῖο	75	lowconf
fiBiBs	נשפה	83	applied
(OQOV$ nedtvov)	ύρους πεδινοῦ	76	lowconf
(avol^ars ol	ἀνοίξατε οἱ	96	applied
ttJ^p	קדש	74	applied
(yopi^ovTsg savrovs tlvai	νομίζοντες ἑαυτοὺς εἶναι	94	applied
^ip	קול	96	applied
Arme	6חיו \4	66	lowconf
x*a	צבא	90	applied
(nacav irtv uxovftbtp),	πᾶσαν τὴν οἰκουμένην	95	applied
i&S	פד	65	lowconf
iBiaa	אנוש	93	applied
dimxo,	יאחזום	83	applied
"ptrwo	יאחזון	90	applied
"p^rr	יחילון	69	lowconf
fshb	לחבים	90	notfound
"ITSX.	אפזר	75	lowconf
(anaToi),	ἀνίατος	81	applied
d-^w	כסילים	78	lowconf
b^ba	כסיל	92	applied
nsn	רעה	87	applied
fi'is	אדם	81	applied
avfa.	ἀνήρ	96	applied
TQ	פז	78	applied
tB	פז	90	applied
dro	כתם	90	applied
M-&OS	λίϑος	90	applied
"npix	אוקיר	92	applied
"Ppix	ΠΡῚΝ	84	applied
OJJS)	סעס	80	applied
ndiAuwtov ofiov	πάμμικτον ὕχλον	81	applied
nao	ספה	96	halfword
s-inn	בחרב	93	applied
na&5	נספה	91	applied
Mijdoi, xal ndvreg oi	Μῆδοι, καὶ πάντες οἱ	83	applied
tyw vfias olda Gayug,	ἐγὼ ὑμᾶς οἶδα σαφῶς	96	applied
ovrs	οὐυτὲ	75	lowconf
XQWUTCM deopevoi GVV Ipol	χρημάτων δεόμενοι σὺν ἐμοὶ	86	applied
(to&vpaTa veanay.wv)	τοξεύματα νεανίσκων	94	applied
c"nS3	נערים	92	applied
D^a	בנ"ם	75	lowconf
("j^ri),	חפץ	79	lowconf
mabaa	ממלכות	88	applied
Xllt.	זא	78	lowconf
m&tsn	תפארת	85	applied
nrsn^	מהפכת	87	applied
ovdsv s-ii fy	οὐδὲν ἔτι ἦν	95	applied
ei	εἰ	97	applied
-pa	שכן	76	lowconf
bnx	אהל	91	applied
tion	מסוז	81	notfound
(axrjvirai lyaTQixoi	σκηνίται ληστρικοί	92	applied
*0tpmx0t')9	ποιμενικοί	84	applied
ims	ערבר	65	lowconf
i^s^i	רבצו	96	applied
t^nx	אחים	87	applied
niiais	ארמנות	91	applied
Mibi)	נלוה	76	lowconf
bs	על	96	applied
buWith	but with	97	applied
^ss>	ששב	95	applied
5]*na	מרדף	68	lowconf
t]Tia	מרדף	84	applied
rni	רדה	80	applied
rn& iftba	בלתי סרה	82	applied
floa psr eiyQoavv-ys.	βοᾷ μετ᾽ εὐφροσύνης	81	applied
bs	על	93	applied
rvnbv!	הפרת	91	applied
(avt'pij),	ἀνέβη	90	applied
^NS^I	רפאים	82	applied
fiBn	רפה	90	applied
KSn	רפא	97	applied
ms"i	רפרת	75	lowconf
xsn	רפא	97	applied
nsn	רפה	97	notfound
^aia	בואך	88	applied
"jn&npb.	לקראתך	90	applied
fttJH	רגזה	92	applied
D^a*i	רפאים	75	applied
bs	אל	96	applied
"p&w,	גאון	79	lowconf
-p&DB	מכסיך	92	applied
-JOSE	מככך	86	applied
-peaa	מכסיך	92	applied
hb	לה	95	applied
bbn	הלל	74	applied
yixb	לארץ	88	applied
tt&in	חולש	86	applied
bs	על	78	halfword
bs mbn	חלש על	96	applied
ISfte"^^,	אהלדמועד	65	lowconf
^sia	מועד	78	lowconf
(eV OQSI i>ip^/Lw,	ἐν ὄρει ὑψηλῷ	85	applied
vtyi]ka	ὑψηλὰ	96	applied
X3is^	צפונא	91	applied
ss?	עב	92	halfword
"p^s	עלרון	74	lowconf
lia	בור	93	applied
-pa	בין	84	applied
bat-i	חבל	76	lowconf
nrs	פתח	81	applied
^nba^ isia	מועד לכלחי	69	lowconf
nsns -.xa	נצר נתצב	85	notfound
dvocios fiaGifavg	ἀνόσιος βασιλεύς	96	applied
s-it	זרצ	80	applied
isia	טאר	90	applied
(ovopa	ὄνομα	96	applied
xal xardfoiwa	καὶ κατάλειμμα	97	applied
anfQpa)	σπέρμα	89	applied
"IBJ?	קפד	92	applied
(xal #//'aoo avrfv TT^OV	καὶ ϑήσω αὐτὴν πηλοῦ	95	applied
slg	εἰς	96	applied
anwteiav),	ἀπώλειαν	83	applied
MB,	טא	65	lowconf
B*<B,	טיט	65	lowconf
iirvTi	היתה	67	lowconf
(tvt>	סיס	84	applied
jwrr	היתה	75	lowconf
nipn	תקום	76	lowconf
Tnrx	אשור	84	applied
lES'i:	טכמי	86	applied
D^nuba	פלשתים	91	applied
Ilulatarivy,	Παλαιστίνη	76	lowconf
PIU^B ,	פלשת	70	lowconf
"p-iB	פריו	85	applied
^ba	בכר	66	lowconf
rra:&	לבטת	80	applied
Erx,	ארש	79	applied
iriaa	נמוג	86	applied
D^isia,	מועדירם	66	lowconf
a^'lotg.	ἀγγέλοις	97	applied
ns^	רענה	80	applied
n?a	בית	66	lowconf
oir&si rvs	בית דבלתים	86	notfound
unpa	מקדש	92	applied
d*r	דם	93	applied
ya^	דובון	89	applied
nsrn	רחצה	77	lowconf
oayvg.	οσφυς	84	notfound
Qwpot,	ἔξωμοι	92	applied
ns-p	ררעה	94	applied
rw	רדעה	91	applied
ns-n	ררעה	93	applied
IS^-P	רריעו	79	lowconf
n^-P	ררעה	94	applied
(IKIE	מואב	89	applied
avrfi).	αὐτῇ	87	applied
irima	ברוחו	92	applied
TQinohs	τρίπολις	92	applied
(ZwaQa)	Ζώαρα	78	lowconf
nbsB	מעלה	92	applied
TIQO$	σρος	80	applied
TII'E	מורד	92	applied
iiss^	רעערו	89	applied
iwv	ררעעו	85	applied
%OQTOS ylw^og.	χόρτος χλωρός	90	applied
DWS bfis ;	נחל ערבים	82	applied
an*'^	רשאום	77	lowconf
finbb"1	רללתה	85	applied
nnb^i	רללתה	90	applied
tt	ἘΠ	94	applied
niBbia	נוספות	92	applied
m'B&to.	נוספות	89	applied
fc^iua :	משלים	90	applied
IJirQa	Πετρὰ	76	lowconf
axia	מואב	91	notfound
ni'nasa	מעברות	86	applied
fiWs	פלילה	68	lowconf
iwm	אשישר	69	lowconf
tniD-iiux	אשרשים	66	lowconf
D^wm	אשישים	76	applied
nittriax	אשישות	85	notfound
^sx	אמלל	89	applied
V?ES<	אמלל	90	applied
WBIIU,	שדמות	75	lowconf
"ossthe	6 בעלר	75	lowconf
pTUB,	שורק	92	applied
Wn,	הידד	66	lowconf
bss	נפל	84	applied
*nsp	קציר	93	applied
T^p	קציר	83	applied
ba*D	כרמל	89	applied
("p^itt	הדרך	92	applied
YT*n	הידד	95	applied
ftao	ראה	97	applied
Mjoa	נראה	76	lowconf
^w^oV,	βωμος	93	applied
m'aa	במות	89	applied
vb	לא	92	applied
iripE	מקדש	74	applied
ttnpn	מקדש	92	applied
nxba	נלאה	92	applied
Tsta	ביאז	81	applied
btt	אל	94	applied
^xia	טאר	78	applied
*naa.	ספאל	73	lowconf
isp	קצר	89	applied
i^sj? sKs.	איש קציר	94	applied
T^ap	קציר	91	applied
a^ba TT-HU	שריד פליש	82	applied
-ixujiis mascu	18 נשאר	74	lowconf
mrQTEtt	המזבחות	91	applied
ti-ittJx	אשרים	92	applied
miax	אשרה	90	applied
ittjx	אשר	80	applied
*,ttn bsn,	בעל חמן	82	applied
raits	עזובת	91	applied
o/and	of and	97	applied
'AvtQft	Ανέρϑ	75	lowconf
-nas,	אמיר	91	applied
ol 'dpOQQCuot xal ol	οἱ ᾿Α΄μοῤῥαῖοι καὶ οἱ	74	lowconf
beginning/or,	beginning for	96	applied
s>an	תסע	72	lowconf
(yvrtvpa aTtiarov),	φύτευμα ἄπιστον	71	lowconf
Mia	טנג	74	lowconf
nbna DTS	ביום נחלה	91	applied
nbm	נחלה	86	applied
h,is<ia	טאון	78	lowconf
pfa	מץ	91	applied
nsn,	הנה	88	applied
firtlba	בלהה	83	applied
(n^itt)).	שדים	83	applied
^sba	צלצל	78	applied
^sbs	צלצל	91	applied
frps,	כנף	77	lowconf
n^bs^s	צלצלים	91	notfound
(nloicov nrtQvyeg),	πλοίων πτέρυγες	83	applied
^tux	אישר	89	applied
'px.	ארץ	91	applied
^sbs	צלצל	87	applied
DS>	עם	89	notfound
"px	ΤῈ	83	applied
ns,	עם	72	applied
BxiGTolag fiiftlivag,	ἐπιστολὰς βιβλίνας	92	notfound
IB	מן	91	halfword
*p~T	קו-קי	67	lowconf
rioi^E	מבוסה	91	applied
^sn	תבל	75	lowconf
*rix	אור	79	applied
*vis,	ἭΝ	68	lowconf
(misn ms)	כרת הכורת	84	applied
tnn	התז	89	applied
oi	Οἱ	85	applied
ds	עם	89	applied
vopoe	ψομος	69	lowconf
D^wx	אטים	79	lowconf
rvoix	אובות	92	applied
tn^bx	אלילים	68	lowconf
r'JJa.	גשת	81	applied
niis	ערות	92	applied
a%i	χί	72	lowconf
rns	ערה	95	applied
rvhs	ערות	91	applied
"nitt	חורו	71	lowconf
wp^io	שריקות	78	lowconf
rrinttj	שתות	92	applied
(ot noiovvtes TOV	οἱ ποιοῦντες τὸν	97	italic
wx,	אגם	83	applied
''aax	אגמ	86	applied
ixsn	רעצר	74	lowconf
cmp	קרבם	91	applied
nrs	פנה	87	applied
isnrj	התעו	84	applied
le	ΠΣ	71	lowconf
pnxb	לאחת	83	applied
b^rtn	ההרס	92	applied
(pisn),	הצדק	85	applied
tifies oiGedex	1 ῆ65 ἀσεδὲκ	71	lowconf
np^s	צרקה	91	applied
onn	הרס	94	applied
FPiii	וה"ה	79	lowconf
srn	חל	82	applied
a*n	הב	75	lowconf
s'li'a	נידע	69	lowconf
Q'yixo	מצרים	91	applied
rx	את	94	applied
-ns	עבד	91	applied
ins	עבד	91	applied
"i^s?	עבד	92	applied
p::J	טק	81	applied
^rn	רגליך	88	applied
MJi'a	מופת	92	applied
D^attJ ttjbia	שלש שנים	94	applied
D^IS irbu:	שלש שנים	94	applied
Sfia	נהג	93	applied
latfi	טבר	73	lowconf
Mb&	גלגת	70	lowconf
rr\y	ערות	78	applied
hs<	ἊΝ	68	lowconf
iafi	הגד	96	applied
'lai'a	בוגד	91	applied
ijjia	בוגד	75	applied
^"ii'tti.	שודד	80	applied
fib^s	עילם	91	applied
nsst	צפה	93	applied
rv^Bx	צפית	66	lowconf
(slg dvo).	εἰς δύο	95	applied
n^tt	דומה	77	lowconf
*ja	מן	93	applied
N'np	קרא	89	applied
tvirnj*	ארחות	91	notfound
nttJp	קשת	88	applied
"pbbn	חלליך	87	applied
MUpa	מקשת	92	applied
rvapa	מקשת	92	applied
wsttn	תאיצף	69	lowconf
I9*istb	לאדנר	84	applied
ta'WB	פרשים	67	lowconf
vp	קיר	96	applied
d^nbh	חמתים	79	lowconf
bbx	אכל	89	applied
fto	נגלה	90	applied
l^b	סכן	71	lowconf
ssa	בא	94	applied
ba^aa	מטלטל	83	applied
fias	עסה	85	notfound
nVjVj	טלטלה	84	applied
nbaVo	טלטלת	90	applied
tps	צנס	74	lowconf
-pa	ארץ	92	applied
eps	צנם	65	lowconf
doaiv xaxav uaxwv xaxoi$	δόσιν κακὰν κακῶν κακοῖς	96	applied
rvni^a	מרכבות	92	applied
y^P	קלון	93	applied
"pbp	קלון	93	applied
naia	טשמה	71	lowconf
pm	חזק	91	applied
N&a	כסא	90	applied
D^XXXS	צאצאים	91	applied
msss	צפצות	89	applied
nrssand	4 צפצת	85	applied
maax	אגנות	87	applied
a^Si	נבלרם	67	lowconf
ft^assD	כנצנירם	74	lowconf
Ts	צר	97	notfound
nnb	סחר	92	applied
ihtti	שחר	95	applied
-liK?	ראור	92	applied
M&as	Μέλας	92	applied
inttS	שחר	97	applied
(fcO-iS'a).	מערבא	65	lowconf
xb	כא	65	lowconf
iVrn	הידכו	79	lowconf
m^BSa	מעטירה	75	lowconf
nxan	רעצה	90	applied
i&<h=>	כיאר	84	applied
fiistsa	מעזנרה	82	applied
Zidon;	Ζάοι	69	lowconf
rs	בת	86	applied
ns	בת	86	halfword
