22	D^S	and an equally rare form of the participle (D\*1S3 for D^S), and a meaning of the verb itself which nowhere else 	כָּרִים	111
22	lion-	 of the same, in Num. xxiv. 9, Ezek. xxii. 25, *like a lion-* This idea would be here the more appropriate, because	*like a lion.*	111
22	IKS	e two interpretations by supplying a verb and giving ^"IKS its usual meaning. " Like the lion (they have wounded)	כָּאֲרִי	111
22	wii	rence to the name of God with which the psalm begins *(wii)* and to the word *hind* (J^TjSt) in the title, both w	אֵלִי	112
22	J^TjSt	which the psalm begins *(wii)* and to the word *hind* (J^TjSt) in the title, both which are akin to it in etymology.	אַיֶּלֶת	112
22	Ms	in (the) great congregation; my vows I will pay before Ms fearers,* those who fear him. *From (thee* is somethin	his	113
22	co-extensive	l, but with a spiritual sway, which is hereafter to be co-extensive with the earth itself. Compare the similar expressions	co-extensive	114
24	symbolise	 in its permanent and temporary forms, was intended to symbolise the doctrine of God's special presence and residence a	symbolise	118
24	SlJi/'	xact copy of the original. The precise construction') (SlJi/'? *HU.^2)* is found in these two places only; but a cogn	לַשָּׁוְא	119
24	HU.^2	 of the original. The precise construction') (SlJi/'? *HU.^2)* is found in these two places only; but a cognate one	נָשָׂא	119
24	ii^i	is found in these two places only; but a cognate one *(ii^i* '; T T T T T ^^^) occurs repeatedly in the sense of s	נָשָׂא	119
24	^&lt	erpretations of the former phrase are that which makes ^&lt;^^^ a mere poetical variation of אל השוא and that whic	לַשָּׁוְא	119
24	^&lt	ere poetical variation of אל השוא and that which gives ^&lt;')2J^7 K^J; in both places, the sense of *carrying to 	לַשָּׁוְא	119
24	2J^7	tical variation of אל השוא and that which gives ^&lt;')2J^7 K^J; in both places, the sense of *carrying to vanity,	לַשָּׁוְא	119
24	K^J	 variation of אל השוא and that which gives ^&lt;')2J^7 K^J; in both places, the sense of *carrying to vanity, i. 	נָשָׂא	119
24	^&lt	us, not by the single one in which the combination *b* ^&lt;ii.0; T T occurs, but by the many in which the same ve	נָשָׂא	119
24	ii.0	ot by the single one in which the combination *b* ^&lt;ii.0; T T occurs, but by the many in which the same verb is	נָשָׂא	119
24	7not	tion. The meaning of the clause will then be, *who has 7not set his heart on falsehood,* or on any false and sinfu	not	119
24	■where	ed.—There is a more material variation in. the answer, ■where, instead of the two phrases, *Jehovah strong and might	where,	121
24	Zebaoth	s the single but still more expressive title, *Jehovah Zebaoth,* or *of Hosts.* In Exodus xii. 41, Israel is called *	Zebaoth	121
24	Mohammed	 compound title as denoting *Lord of the Universe,* as Mohammed in the Koran speaks of Allah as the *Lord of Worlds.* 	Mohammed	121
24	Zebaoth	h less scriptural than heathenish. The phrase *Jehovah Zebaoth* does not occur in the Pentateuch, Joshua or Judges, f	Zebaoth	121
24	Zebaoth	other noun. The anomaly can only be removed by making *Zebaoth* itself a proper name, or by supplying the word *God* 	Zebaoth	121
24	lxxx.5	 form, *Jehovah God of Hosts.* Compare Ps. lix. 6 (5), lxxx.5 (4), lxxxiv. 9 (8).—This description of Jehovah as the	lxxx.5	121
25	Db'lVp	nced already.—*Of old* is an inadequate translation of Db'lVp, and even in the stronger form, *ever of old,* less ex	מֵעוֹלָם	123
25	translation/ro?w	er of old,* less exact and expressive than the literal translation/ro?w. *eternity,* to which there is the less objection here,	from	123
28	xxii=	. See Ps. xxx. 4 (3), lxxxviii. 5 (4), and compare Ps. xxii= 30 (29). <!-- PAGE 132 --> <span class="ax-anchor" id	xxii.	132
29	Kadesh	 it is not in its whole extent, that the wilderness of Kadesh is here added to Mount Lebanon. <!-- PAGE 136 --> <sp	Kadesh	136
31	rdii	r of his own name or manifested nature. See above, Ps. rdii. 3, for the meaning of this phrase, and on the second v	xxiii.	141
32	TDTl	on which invariably follows it. For the true sense of *TDTl,* see above, on Ps. xxxi. 24 (23).— • r *Shall pray* i	חָסִיד	147
34	Achish	 connection with the means by which David escaped from Achish, as suggested in the title, that it can only be explai	Achish	155
35	i^D	out of its repository or concealment. Some explain f, "i^D as a foreign word, identical with the Scythian *σάγαρι	סגר	158
35	I^D	curs in Hebrew elsewhere, and the meaning of the verb "I^D is entirely appropriate, to *close* or stop the way ag	סָגַר	158
35	sowZ	ee above, on Ps. xxxiv. 11 (10).—*My lonely,* solitary sowZ. See above, on Ps. xxii. 21 (20). <!-- PAGE 161 --> is	soul	161
36	23rT	* DS3) and *the man* there and also in Prov. xxx. 1 (")23rT *Di^i),* both which appear to be copied from the words	הַגֶּבֶר	164
36	Di^i	 and *the man* there and also in Prov. xxx. 1 (")23rT *Di^i),* both which appear to be copied from the words of Ba	נְאֻם	164
36	^^B	ing not from God nor from his prophets, but from sin *(^^B))* which here supplies their place. *A dictum of depra	פֶּשַׁע	164
36	D^?2	 copying the paraphrastic but familiar version of יהוה D^?2 in the English Bible, *thus saith transgression* or *c	נְאֻם	164
36	yt£>l7	sion* or *corruption.*—The meaning of the next phrase (yt£>l7) is determined by the analogy of Ps. ex. 1, where the 	לָרָשָׁע	164
39	Jedithun	d *Jeduthun,* while the text itself presents the form *Jedithun.* The same diversity appears in Ps. lxxvii. 1, 1 Chron.	Jedithun	181
39	mij	ntent and envious repining. *Within me,* literally *in mij inner part,* or *inside,* an emphatic phrase referring	my	182
39	^li^lD	t thy mercy, and dependent on thee. The parallel term (^li^lD) means one who has no land of his own, but is settled 	תּוֹשָׁב	185
40	apostatising	joining the party, of those *swerving,* turning aside, apostatising, from the way of truth and duty, or from God himself. 	apostatising,	187
41	Imow	rest. *He will speak:* I am sure that he will do so; I Imow him too well to doubt it for a moment. The idea thus s	know	193
41	y^p	ance of benevolence and friendship. The second future (y^p") may be either construed like the first, *he* (certai	יקבץ	193
