7	preface.md	（缺）	约翰福音纲要	0.0
115	3.md	①	㉛（圈31）	0.0
117	3.md	①	❸❹（黑底数字34）	0.0
125	4.md	（缺）	❺名叫叙加。哲罗姆在其为保拉②写的悼文中，认为叙加（Sichar）这个读法是错误的，应该为Sichem③……雅各和他家人无疑在那里住了很长时间。	0.05
137	4.md	②	㉒（圈22）	0.0
172	5.md	（整段缺失）	⑳父爱子。每一个人都看到教父们对这节的解释是多么粗糙和不着边际。他们说，上帝在儿子里爱自己（loves himself in the Son）。然而这节经文指的是基督披上血肉之身，为父所爱。并且凭着这高超的权利，基督从众天使和人那里被区别出来，“这是我的爱子”（太3：17）。我们知道基督被选立，为的是让上帝全备的爱住在他里面，并从他丰富的泉源里涌向我们。基督为父所爱，因着他是教会的头。他指出父通过他的手行一切事正是因为这爱。当他说父指给他看时，这个词应该被理解为传递，好像他是说：“父把他的心给了我，所以他也把自己的能力浇灌在我身上，以致上帝的荣耀在我所做的事上显出来，并且若不是在我里面，世人就寻求不到任何关乎上帝的事。”的确，在基督之外寻求上帝的能力是徒然的。	0.01
172	5.md	（整段缺失）	㉑父怎样叫死人起来。他在此简明扼要地说明了父所托给他的职分的性质。虽然他是明确说明一类事情，但这是普遍的	0.0
190	5.md	①	⑪（两位数圈码，笔画粘连难辨）	0.0
203	6.md	（缺）	⑭众人看见耶稣所行的神迹。看起来神迹带来某些益处，使他们承认那行神迹的乃是弥赛亚，因为基督也没有别的目的。但他们随即把所获得的对基督的知识用为错误的目的。一旦基督将自己彰显给他们，他们以自己的谬误玷污和歪曲他的真理，这种错误在世人中间极为普遍。甚至即使似乎走进正道，他们也会随即背离。	0.0
203	6.md	（缺）	⑮来强逼他作王。那些人要尊基督为王，这么做还是有某些正当理由的。但他们胆敢自己立一个王，真是大错特错了。因为圣经上说唯有上帝有这个特权，就像以下所说的：我已经立我的君在锡安我的圣山上了（诗2：6）。再说，他们想要他成立的是一个怎样的国？是一个属地的国，与他的本性完全不兼容。所以我们要知道，一个人在上帝的事情上若忽视了他的话语，靠着自己去发明，这是多么危险！因为没有任何事物不被我们愚蠢的理解力所玷污。当我们以错谬来敬拜上帝时，这比一个人故意攻击他的荣耀更为侮辱他，除此之外有什么更会助长虚假的热心呢？	0.02
226	6.md	（整段缺失）	❺我是活的粮（the living bread）。① 他常常重复同一件事情，因为没有比这更有必要为我们所知的。而且所有人都能自己感觉到要相信它是多么难，它也很快消逝、很容易被遗忘。我们都渴望得着生命，但在寻找生命的过程中，我们愚蠢而错误地绕弯路。当上帝把生命赐给我们时，众人大都蔑视、拒绝它。有谁不是在基督之外设法自己寻找生命？而单单相信基督的人又是何等稀少！因此，基督不断表明唯独他能赐生命，他重复这么做并不是多余的。他断言自己被称为粮，为要除去我们心中一切对生活的错谬的盼望。先前他称自己为生命的粮（the bread of life），现在他称自己为活的粮（the living bread），都是同一个意思，即赐生命的粮（life-giving bread）——都是从天上降下来的。他常常提到他是从天上降下来的，这是因为这属灵又不朽坏的生命不在这个世界里（这世界的样子都要过去），乃在上帝天上的国度里。	0.01
229	6.md	⑤	51(黑底圆圈内数字，疑为51)	0.0
230	6.md	（整段缺失）	㉟我的肉是真正的食物。①他换种说法来进一步证实上述所说的：“身体若缺乏食物，就会变得虚弱以致被毁坏；灵魂若没有属天的食物来喂养，很快也会由于饥饿而死亡。”当他宣告他的肉是真正的食物时，他的意思是灵魂若缺乏食物就会被饿死。所以，当你在基督的肉身里寻求生命的食物时，就会在基督里找到生命。我们应该同保罗一起夸口：我们只夸基督被钉十字架。我们一旦离开他死的献祭，就只有死路一条；除了他的死和复活之外，没有任何其他的路可以带我们认识他神性的权能。因此，当相信基督是父的仆人（赛42：1），他就向我们显明自己是生命的主（徒3：15）。因着他倒空自己（腓2：7），我们在他丰富的恩典里得以富足；他自甘卑微，降在阴间，叫我们升到天上；他忍受了十字架的痛苦，就举起了公义的旌旗，以纪念他荣耀的得胜。因此，有人把众灵魂从基督	0.01
231	6.md	⑤	㊶（黑底圆圈数字，似「56」）	0.0
232	6.md	（整段缺失）	❺❼永活的父怎样差我来。迄今为止，基督已经解释了我们怎样得以承受生命。现在他开始谈到那首要的起因，因为生命最初的源头在父里面。但他面临一个异议：当他说自己是生命的源头时，也许有人会认为他拿走了原本属于上帝的东西。因此，他承认他所赐给其他人的生命，是另有一个位格先赐给他的。他以这种方式说明自己是生命的源头。	0.0
232	6.md	（整段缺失）	❺❽这就是从天上降下来的粮。他转而比较吗哪和他的肉，他也正是以此开始谈话的。他也必须这样结束这讲道：“你们喜爱摩西胜于我——因为他在旷野里喂养了你们的祖宗，这是没有道理的。因为我赐给你们更美的食物，在我这里有属天的生命。”就如先前所说的，粮被称为是从天上降下来的，因为	0.0
245	7.md	（整段缺失）	❶耶稣在加利利游行。看来作者没有继续上文做叙述，而是挑选了一些发生在不同时期的事情，这些事情都是值得讲述的。他说基督在加利利逗留了一段时间，因为他在犹太人所住的任何地方都是不安全的。有人认为基督找了一个地方把自己藏匿起来是一件很奇怪的事，因为他只要愿意，就能将他的众仇敌击败，叫他们的努力归于无用。回答这一点很容易：他谨记从父那里所领受的使命，就决意将自己约束在他作为人所属的限制之内。因为他反倒虚己，取了奴仆的形象，所以上帝将	0.01
245	7.md	③③⑩⑪⑪⑫⑬⑮⑯⑰⑱⑲⑳⑳⑳⑳	㊳㊴㊵㊶㊷㊸㊹㊺㊻㊼㊽㊾㊿51 52 53（即38—53节序号）	0.0
251	7.md	（整段缺失）	⑭耶稣上殿里去。现在我们看到基督并不是由于心里害怕以致不去履行自己的职务，因为他推迟上去就是为了向一个极其庞大的群体布道。也许我们有时候使自己面临危险，但我们决不应忽略和漠视任何一个行善的机会。他在殿里教训人，这样做是依照古时的仪式和习俗。当上帝吩咐了如此众多的仪式时，并不想让他的百姓忙于索然无味又毫无用处的展示。我们都知道它们是无用的，它们必须要有真道为伴。这样，当外在的仪式按照上帝的话语成形时，它们就成了属灵之事的真像。但在当时几乎所有的祭司都是十分愚钝的，而且文士的酵和虚假的发明玷污了纯正的道，基督就在那时承担了教师的职分。并且因为他是大祭司（这一点他后来扼要地作了断言），就应专求父上帝的旨意。	0.01
251	7.md	（整段缺失）	⑮犹太人就希奇说。有人认为此处基督得到了尊重和荣耀，这样的看法是错的。因为从本质上说，犹太人的希奇或惊讶是他们想在此寻找理由来貌视基督。世人就是如此忘恩：他们在议论上帝的作为时，总是故意寻找理由犯错。若上帝以寻常普通的方式和手段行事，这样的行事方式——就是我们肉眼能看见的——就如面纱一样阻碍我们，使我们看不到上帝的手；因此我们在那里只看见属于人性的东西。而上帝的权能若以不寻常的方式行事，大大不同于自然的秩序和世人都知道的方式，我们就目瞪口呆，而那些本应能深深影响我们全部心智的事如梦一样消失了。因为我们就是如此骄傲：我们对任何我们不知道其中缘由的事都不感兴趣。	0.01
260	7.md	（缺）	㉕耶路撒冷人中有的说。官长将他们的阴谋告诉了这些人，这些人也知道官长是多么憎恨基督。因为大部分的人——就如刚才我们所看到的——都认为这是白日做梦或是疯狂的行为。那些人知道他们本族的官长的心里燃烧着对基督的根深蒂固的恼恨，所以他们觉得奇怪：基督在殿里不仅公开讲话而且自由地讲道，而官长也不向他说什么。但他们在这点上错了，这完全是上帝所行的神迹，而他们没有考虑到上帝的护理。属肉体的世人一看到上帝不寻常的作为，确实会感到惊奇，但决不会想到上帝的权能。但我们的职责就是更智慧地观察上帝的作为。尤其当恶人千方百计想阻挡福音的扩展，却不能如愿时，我们应该完全相信他们的努力是徒劳的，因为上帝——用他的道——已经把他们击败了。	0.0
260	7.md	（缺）	㉗然而我们知道这个人从哪里来。此处我们不仅看到世人——当他们判断上帝的事时——是多么愚昧；而且也看到他们多么善于发明东西来拦阻自己认识真理，在这方面他们真是天才，他们天生就会行此恶。的确，恼怒的产生常常是由于撒但的诡计，这样的恼怒心理使很多人厌恶基督。但纵使这路是平坦清楚的，众人也会有理由让自己恼怒。只要官长反对基督，他们的不信就会拦阻众人。但如果这个障碍物被除去，众人又会为自己的不信发明新的理由。即使官长的榜样对他们的影响是正确的，他们也没有追随正确之事，反而欣然在迈出第一步时就走入歧途。所以那些开始走得好的人常常很快就流失了，除非主在他们的一生中引导他们到底。	0.0
261	7.md	（整段缺失）	28基督在殿里……大声说。他严厉地责备他们轻率的行为，因为他们傲慢地以一个错误的观点自鸣得意，这使他们自己不得明白真理。他好像说：“你们什么都知道，但却什么都不知道。”他们被自己所拥有的少量的知识冲昏了头脑，以致胆敢拒绝不同于他们观念的一切知识。实在没有什么祸患比这更为有害的！	0.0
272	7.md	④	❹1（圈码四十一）	0.0
290	8.md	（整段缺失）	**⑲你的父在哪里？**毫无疑问，他们询问**他的父**是出于嘲讽的心。他们不仅一味地骄傲，鄙视他刚才所说的关于**父**的一切，他们也同样取笑他竟然高谈**他的父**，仿佛他是从天而生似的。他们说这话表明他们并不敬重基督的**父**，否则他们就会因此将一切归给子。如今之所以有如此多的人冒昧而放肆地轻视基督，就是因为很少有人相信他是上帝差遣来的。	0.0
294	8.md	（整段缺失）	㉕从起初。有些人把 τὴν ἀρχὴν 译为主格，我是起初，好像基督此处是为宣告自己的神性。……（整段至）……我乃是先前被应许给你们的，所以现在我公开在你们当中出现。”他又说——	0.08
366	10.md	（整段缺失）	㉕我已经告诉你们。我们的主耶稣并不隐瞒自己是基督，但他并不是教导他们，好像他们很乐意听他的话似的。他乃是责备他们心里邪恶刚硬，因为他们尽管听到了上帝的话语，也见到上帝的作为，但还是没有任何进步。因此，他们不认识他，他将此归咎于他们自己的错，仿佛他说：“我的教训很容易就能明白，你们应该责怪你们自己，因为你们存着恶心拒绝上帝。”	0.0
366	10.md	（整段缺失）	㉖因为你们不是我的羊。他们既不相信他的神迹也不相信他的教训，他就将其中更重要的原因指出来，即这是因为他们是被弃之民。我们必须留心基督的用意。既然他们夸耀说自己是上帝的教会，为了叫他们的不信丝毫不减损福音的权柄，他断言说信心是一种特别的恩赐。的确，就如保罗说的，在他们认识上帝之前，先被上帝所认识（加4∶9直译）。另一方面，上帝所不照看的人总是一直转脸不看上帝。若有人对此有异议，争辩说人之所以不信是因为上帝使然，因为唯有他有权柄叫一个人成为羊；我的回答是，上帝没有任何过错，人们拒绝他的恩典乃是因为他们故意存着恶心这么做。上帝做了一切必	0.01
396	11.md	④	46（❹❻，原书印作❹❺）	0.0
448	13.md	绝不	不绝对	0.4
456	13.md	（整段缺失）	㉒门徒彼此对看。那些不晓得这恶行的人因着基督所说的话心里感到不安，唯有犹大一人对自己的邪恶感到麻木不仁、无动于衷。众门徒是如此敬重基督的权柄，所以他们完全相信基督的话是可信的。然而撒但从犹大的心里除去一切敬畏之心，以至于它比石头还硬，拒绝任何劝告。尽管基督看似严酷，让那些无辜的人忍受此拷问，但由于这样的焦虑对他们是有益的，所以基督没有带给他们任何伤害。当上帝的儿女听到对不敬不虔之人的宣判时，心里应该感到不安，乃至审查自己，防备任何伪善的行为。这就给了他们一个审查他们自己和他们的生命的良机。	0.0
456	13.md	（整段缺失）	㉓是耶稣所爱的。基督爱约翰，这特别的爱表明：若我们爱一些人过于其他人，这与弟兄之间的爱不一定不符。重点在于我们的爱要导向上帝，叫每一个人都按着上帝所赐的恩赐来分享它。基督绝不稍稍偏离此目的。但我们的情况完全不一样，因为我们爱人的时候，我们当中很少有人与上帝更亲近。	0.0
460	13.md	（整段脱漏）	㉜上帝要因自己荣耀人子。基督断定：他要借着自己的死得着荣耀的胜利。因为他如此行的唯一目的就是要荣耀他的父。父从子的死亡中得了自己的荣耀，他也会让子有份于那荣耀。因此他应许说，他要暂时忍受羞辱，一旦这羞辱被除去，他的死就显出极大的尊荣。这一点的确成就了。基督在十字架上忍受了死亡，这非但没有埋没他尊贵的职分，反而核心地彰显了他尊贵的职分。因为十字架全然显明了他对人类奇异的爱；他无限的公义——赎罪并止住上帝的震怒；他奇妙的大能——战胜了死亡、征服了撒但、最后开启了通天的道路。这个教训对我们每个人都有用。尽管全世界的人都图谋羞辱我们，然而若我们诚实而忠心地竭力荣耀上帝，我们就应该相信上帝也会荣耀我们。	0.0
460	13.md	（整段脱漏）	㉝小子们，我还有不多的时候与你们同在。当门徒听到老师要离开的时候，他们不可能不深深感到伤心。所以基督提早告诉他们，自己不再与他们同在，同时劝告他们要存忍耐的心。最后，为了除去他们不合宜的强烈欲望，他明说他们不能立即追随他。他称他们为小子们②，借此温柔的称呼，他表明自己离开他们不是因为他漠不关心他们的安康，因为他实在爱	0.0
466	14.md	㉖	㉕（第二处，即“但保惠师”前的序号与前句“我还与你们同住”的序号同为25）	0.0
467	14.md	（整段脱漏）	❶你们心里不要忧愁。基督用这么多的话来坚固他的门徒，这是因为有一场极艰巨可怕的斗争在等待着他们。不久以后他们将看见基督被挂在十字架上，对他们来说这绝不是一般的考验。那样的景象只会令人完全绝望。由于如此危急的时候就要到来，他指出了解决的办法，免得他们被完全击败。他不仅仅是劝诫他们要站得稳固，而且也告诉他们怎样获取胆量，即他们要凭着信心承认他是上帝的儿子，他有足够的能力来保护跟随他的人。	0.0
478	14.md	（缺整段）	❶真理的圣灵。① 基督又给圣灵起了一个名字，即他是真理的拥有者或教导者。因此，在我们的内心受到他的教导之前，我们所有人的心思都充满着空虚和谬误。	0.0
478	14.md	（缺整段）	❶我不撇下你们为孤儿。这节经文指出，当一个人失去了圣灵的保护时，他是什么，他能做什么。他们是孤儿，会遭遇	0.0
480	14.md	（整段脱漏）	⑳到那日。有人认为这日是指五旬节，然而这应该是不间断的过程——自基督使用他的灵的能力以来至末日复活。从那时候起，他们就开始知道了，但这个开始是很微弱的，因为圣灵还没有如此大能地在他们里面运行。这些话的目的就是要指出，我们不能凭着怠惰的猜测而知道我们与他之间、他与父之间圣洁而奥秘的联合，唯有当他借着圣灵奥秘的功效将其生命赐给我们的时候，我们才能明白这一切。这是对信心的试验，这一点我在前面刚提过。	0.0
480	14.md	（整段脱漏）	㉑有了我的命令又遵守的。他再次重复了前面所说的，唯有遵守他的命令才能证明我们是爱他的。他如此频繁地告诉门徒这一点，为要叫他们不要偏离此道。因为我们最容易落入肉体的本性中，名义上是爱基督，实际上却是爱基督以外的东西。保罗所说的话也是这个含义，虽然凭着外貌认过基督，如今却不再这样认他了。若有人在基督里，他就是新造的人了（林后5：16，17）。有他的命令意为获得这些命令的正确教导，遵守他的命令意为使我们的生命和我们自己都遵从这些命令的管理。	0.02
505	15.md	（整段脱漏）	⑲你们若属世界。这又是一个安慰：世人恨他们，就是因为他们从世人中被分别出来。他们因而蒙拯救脱离灭亡，这是他们真正的喜乐和荣耀所在。	0.03
507	15.md	——项	一项	0.4
519	16.md	⑧	❸(黑底圈号，疑为13)	0.0
527	16.md	（整段缺失）	⓭凡父所有的，都是我的。考虑到有些人会认为基督所宣称是自己的东西都是他从父那里拿取的，基督遂承认说：他借着圣灵所传给我们的一切都是他从父那里领受的。当他说凡父所有的都是他的时，他是以中保的身份说的，因为我们原是从他丰满的恩典里领受了（约1：16）。他常常以我们为念，这一点我们以前谈论过。另一方面，我们看到有许多人都在自己欺骗自己。他们越过基督寻求上帝，就离开正道，在弯路上打转。	0.02
527	16.md	（整段缺失）	⓮等不多时，你们就不得见我。基督已经多次告诉门徒他将要离开，这一方面是为了叫他们更无畏地面对这件事，另一方面是为了叫他们更热切地渴慕圣灵的恩典。而只要基督在肉身中与他们同在，他们就不会对此有很大的渴想。因此我们要	0.0
533	16.md	（整段脱漏）	❷向来你们没有奉我的名求什么。门徒很有可能依然遵守律法所规定的祷告条例。现在我们知道先人不习惯祷告没有中保，因为上帝借着多次的训练使他们形成这样的祷告仪式。他们看到大祭司为全百姓进入至圣所，他们也看到每日都有祭物献上，使教会的祷告合乎上帝的心意。因此，若一个人没有通过中保向上帝祷告，那么他的祷告就是鲁莽的、无效的。这是信仰的基本原则。基督已经非常清楚地向门徒表明他就是中保，但他们的认识是如此模糊，以至于他们不能奉他的名祷告。	0.0
544	17.md	（整段缺漏）	举目望天。约翰描述基督祷告时举目望天，这个细节显出基督非同寻常的激情和热忱。基督的这个姿势表明：在他的感受里面，他不是在地上，乃是在天上，所以他撇下人群，与上帝亲密交通。他望天，这不是说上帝仅仅存在于天上，因为上帝也充满了地（耶23：24），乃是说他至高的威荣主要彰显在那里。另一个原因就是：通过望天，我们提醒自己上帝的威荣远超乎一切受造之物。我们祷告的时候举手也是表达这个意思。人按着本性是如此怠惰、迟钝，并被属地的倾向所牵引，所以他们需要如此行来激励自己——或者我宁可说他们需要战车——使他们升到天上。	0.02
575	18.md	（整段缺失）	⑮还有一个门徒。有些人因着自己的猜想而误入歧途，他们认为这门徒就是福音书作者约翰，因为他在谈到自己时总是不提自己的名字。然而约翰只是一名卑微的渔夫，他怎么可能与高贵的大祭司有亲密的关系？并且作为基督家庭中的一员，他怎么可能有拜访大祭司院子的习惯？很有可能这门徒不是十二门徒之一。但他被称为门徒，是因为他接受了上帝儿子的训诲。	0.0
575	18.md	（整段缺失）	⑰那看门的使女对彼得说。彼得被引进大祭司的院子，但他为此付出了高昂的代价。因为他的脚一迈进去，他就被迫否认基督。他在第一步就如此羞愧地跌倒，这显露出他的夸口是多么愚昧！他曾经夸耀说自己是一个英勇的支持者，至死亦忠	0.0
578	18.md	（无，整段脱漏）	㉓我若说得不是。即：“若我犯了罪，你们就指控我。这个诉讼经过审讯，我就依据自己所犯的罪接受惩治。但你们如此行不合乎程式，法庭应该有其独特的秩序和规范。”因此基督指控他们严重伤害了他，若他没有犯任何罪的话，即使他犯了罪，他们也应该以合法的程式来进行，而不是无端地使用暴力。	0.01
578	18.md	（无，整段脱漏）	㉔亚那就把耶稣解到大祭司该亚法那里，仍是捆着解去的。这句话应该是插入语。作者在前面讲述了基督被带到亚那的院子里，然后就继续他的叙述，好像祭司的会议是在那里召开似的。现在作者提醒读者，他们将基督从亚那那里押到大祭司那里。但由于希腊动词ἀπέστειλε（解送）的时态会误导人，所以我更愿意将其译过去完成时态，即他们已经将基督从亚那那里押到大祭司那里。	0.02
578	18.md	（无，整段脱漏）	㉕他不承认。彼得的愚昧真是骇人听闻！他在否认主之	0.0
608	19.md	③	❸1（第31节）	0.0
623	20.md	（缺）	⑩两个门徒回自己的住处去了。当他们回家的时候，心里可能存着许多疑惑。尽管约翰说他们信了，然而他们的信心还不是很坚定。他们仅仅对神迹有某种混淆的记忆，好像有点恍惚，直到信心得到更加完全的坚固。事实上，仅凭着他们所见的是不可能产生坚定的信心的。另外，直到他们完全从肉体的愚昧中清醒过来，基督才将自己显现给他们。的确，他们跑去看坟墓，其热忱是值得称赞的，然而基督将自己向他们隐藏，因为他们寻找他的时候心里存着太多的迷信想法。	0.0
623	20.md	（缺）	⑪马利亚却站在坟墓外面哭。作者现在开始描述基督如何向两个妇人并众门徒显现，为要见证他的复活。尽管他只提到一个妇人，即马利亚，然而我认为很有可能还有另一个妇人与她在一起。有些人认为这些妇人因为害怕而丧失了勇气，然而这是不合理的。他们想要避免矛盾，然而我已经指出这样的矛盾并不存在。	0.0
623	20.md	（缺）	⑫就见两个天使。主宽容了马利亚和她同伴如此多的错谬，我们的主是多么忍耐！他差天使向她们显现，后又亲自向她们显现（而他还没有向众使徒如此行），这是多大的一个荣誉！尽管众使徒与妇人有同样的属灵疾病，然而使徒的愚昧更不可饶恕。因为他们领受了宝贵而谆谆的教诲，然而他们获益	0.03
639	20.md	（整段缺失）	㉔有称为低土马的多马。此处叙述多马的不信，为要使那些敬虔之人的信心得以更加坚固。他不仅不愿意相信，而且还非常顽梗。基督让他们见他、摸他，就是因为他们的理解太迟钝。这样，不仅对多马来说，而且对我们来说，又多了一个基督复活的明证。另外，多马的顽梗是一个范例，表明每个人都存有这样的恶心，当信心之门向他们打开的时候，这样的恶心就会阻挡他们。	0.0
639	20.md	（整段缺失）	㉕我非看见他手上的钉痕。这表明此恶行的源头就是：每个人都自作聪明，自鸣得意。他说：“若我没有看见，没有摸到，我就不信。”这些话里面毫无信心可言，这只是从感觉而来的判断（即他们的判断是建立在感觉上）。那些全然依赖感觉的人都是如此，他们心里没有上帝的道。你将其读为钉的地方（place），或形状（shape），或钉痕（print），这都无关紧要。因为抄写的人可能将τύπον（痕）改为τόπον（地方），或将τόπον（（地方）改为τύπον（痕），然而其含义都不会因此而有所改变。因此读者可以按自己所喜好的去做选择。	0.0
639	20.md	（整段缺失）	㉗伸过你的指头来。关乎基督进屋和他的问候，我们已经讨论过。基督欣然愿意答应多马的不正当要求，并且主动邀请他来摸他的手并探入他的肋旁，从而我们知道他是多么热切地要坚固我们的信心和多马的信心。因为一切有益于坚固我们信心的事，他都做了，这不仅是为了多马，也是为了我们。	0.0
648	21.md	（整段缺失）	❸我打鱼去。彼得想要打鱼去，这不应该被视为与他的职分不一致。我们在前面看到耶稣吹气在彼得身上，叫他成为使徒。但他暂时没有执行使徒的职分，直到他得着了新的能力。因为基督还没有吩咐他出现在公众面前去履行其教导的职分，而仅仅是把将来的使命告诉他，叫他和其余的门徒知道自己从起初被拣选不是徒然的。同时，他们所做的是他们以前一直在做的事情，也是个人生活中应该做的事情。保罗做传道人的时候，他的确亲手劳力供养自己，但他这么做另有原因。因为安排好了时间，因此他亲手劳力并不妨碍他做传道的工作。而彼得和他的同伴全时间打鱼，是因为他们没有任何公开的侍奉，所以他们打鱼并不受阻碍。	0.0
