29	1.md	情况	情	页内5处 贴合=0.36 方向=-0.04 领先=0.13
245	7.md	（整段缺失）	❶耶稣在加利利游行。看来作者没有继续上文做叙述，而是挑选了一些发生在不同时期的事情，这些事情都是值得讲述的。他说基督在加利利逗留了一段时间，因为他在犹太人所住的任何地方都是不安全的。有人认为基督找了一个地方把自己藏匿起来是一件很奇怪的事，因为他只要愿意，就能将他的众仇敌击败，叫他们的努力归于无用。回答这一点很容易：他谨记从父那里所领受的使命，就决意将自己约束在他作为人所属的限制之内。因为他反倒虚己，取了奴仆的形象，所以上帝将	覆盖率0.38
245	7.md	③③⑩⑪⑪⑫⑬⑮⑯⑰⑱⑲⑳⑳⑳⑳	㊳㊴㊵㊶㊷㊸㊹㊺㊻㊼㊽㊾㊿51 52 53（即38—53节序号）	覆盖率0.38
251	7.md	（整段缺失）	⑭耶稣上殿里去。现在我们看到基督并不是由于心里害…	整段·无短差
251	7.md	藐	貌	整段·PDF否证
260	7.md	（缺）	㉕耶路撒冷人中有的说。官长将他们的阴谋告诉了这些…	整段·无短差
260	7.md	（缺）	㉗然而我们知道这个人从哪里来。此处我们不仅看到世…	整段·无短差
261	7.md	（整段缺失）	28基督在殿里……大声说。他严厉地责备他们轻率的…	整段·无短差
282	8.md	欢喜喜地	欢欢喜喜地	页内无此串
290	8.md	（整段缺失）	**⑲你的父在哪里？**毫无疑问，他们询问**他…	整段·无短差
294	8.md	（整段缺失）	㉕从起初。有些人把 τὴν ἀρχὴν 译为主格…	整段·无短差
366	10.md	（整段缺失）	㉕我已经告诉你们。我们的主耶稣并不隐瞒自己是基督…	整段·无短差
366	10.md	（整段缺失）	㉖因为你们不是我的羊。他们既不相信他的神迹也不相…	整段·无短差
396	11.md	犹豫	犹像	PDF文本层否证
405	12.md	那里	哪里	页内9处 贴合=0.54 方向=-0.05 领先=0.00
443	13.md	讲	说	页内3处 贴合=0.14 方向=+0.00 领先=0.00
456	13.md	（整段缺失）	㉒门徒彼此对看。那些不晓得这恶行的人因着基督所说…	整段·无短差
456	13.md	（整段缺失）	㉓是耶稣所爱的。基督爱约翰，这特别的爱表明：若我…	整段·无短差
460	13.md	（整段脱漏）	㉜上帝要因自己荣耀人子。基督断定：他要借着自己的…	整段·无短差
460	13.md	（整段脱漏）	㉝小子们，我还有不多的时候与你们同在。当门徒听到…	整段·无短差
466	14.md	㉖	㉕（第二处，即“但保惠师”前的序号与前句“我还与…	整段·无短差
467	14.md	（整段脱漏）	❶你们心里不要忧愁。基督用这么多的话来坚固他的门…	整段·无短差
478	14.md	（缺整段）	❶真理的圣灵。① 基督又给圣灵起了一个名字，即他…	整段·无短差
478	14.md	（缺整段）	❶我不撇下你们为孤儿。这节经文指出，当一个人失去…	整段·无短差
480	14.md	（整段脱漏）	⑳到那日。有人认为这日是指五旬节，然而这应该是不…	整段·无短差
480	14.md	（整段脱漏）	㉑有了我的命令又遵守的。他再次重复了前面所说的，…	整段·无短差
505	15.md	（整段脱漏）	⑲你们若属世界。这又是一个安慰：世人恨他们，就是…	整段·无短差
507	15.md	——项	一项	PDF文本层否证
527	16.md	（整段缺失）	⓭凡父所有的，都是我的。考虑到有些人会认为基督所…	整段·无短差
527	16.md	（整段缺失）	⓮等不多时，你们就不得见我。基督已经多次告诉门徒…	整段·无短差
533	16.md	（整段脱漏）	❷向来你们没有奉我的名求什么。门徒很有可能依然遵…	整段·无短差
543	17.md	那	哪	页内29处 贴合=0.37 方向=-0.07 领先=0.07
544	17.md	（整段缺漏）	举目望天。约翰描述基督祷告时举目望天，这个细节显…	整段·无短差
568	18.md	讲	说	页内4处 贴合=0.18 方向=+0.09 领先=0.09
575	18.md	（整段缺失）	⑮还有一个门徒。有些人因着自己的猜想而误入歧途，…	整段·无短差
575	18.md	（整段缺失）	⑰那看门的使女对彼得说。彼得被引进大祭司的院子，…	整段·无短差
578	18.md	（无，整段脱漏）	㉔亚那就把耶稣解到大祭司该亚法那里，仍是捆着解去的。这句话应该是插入语。作者在前面讲述了基督被带到亚那的院子里，然后就继续他的叙述，好像祭司的会议是在那里召开似的。现在作者提醒读者，他们将基督从亚那那里押到大祭司那里。但由于希腊动词ἀπέστειλε（解送）的时态会误导人，所以我更愿意将其译过去完成时态，即他们已经将基督从亚那那里押到大祭司那里。	页内无此串
590	19.md	已	己	页内10处 贴合=0.23 方向=+0.00 领先=0.08
592	19.md	错误	错谬	页内6处 贴合=0.34 方向=+0.07 领先=0.07
623	20.md	（缺）	⑩两个门徒回自己的住处去了。当他们回家的时候，心…	整段·无短差
623	20.md	（缺）	⑪马利亚却站在坟墓外面哭。作者现在开始描述基督如…	整段·无短差
623	20.md	（缺）	⑫就见两个天使。主宽容了马利亚和她同伴如此多的错…	整段·无短差
639	20.md	（整段缺失）	㉔有称为低土马的多马。此处叙述多马的不信，为要使…	整段·无短差
639	20.md	（整段缺失）	㉕我非看见他手上的钉痕。这表明此恶行的源头就是：…	整段·无短差
639	20.md	（整段缺失）	㉗伸过你的指头来。关乎基督进屋和他的问候，我们已…	整段·无短差
648	21.md	（整段缺失）	❸我打鱼去。彼得想要打鱼去，这不应该被视为与他的…	整段·无短差
