chapter	ours	witness	votes	polled	verdict
10	no	not	3	3	realword?
10	rra	n	2	4	reject
10	sLwwJls	sl	2	4	reject
10	albrte	alone	4	4	reject
10	Calno	Calno	4	4	confirm
10	Carchemish	Carchemish	4	4	confirm
10	prcbably	pro	4	4	reject
10	Carchemish	some	4	4	reject
10	Chaboras	Chaboras	4	4	confirm
10	Cercusium	Cercusium	4	4	confirm
10	Tiglath	Tiglath	4	4	confirm
10	Calno	Calno	4	4	confirm
10	Ctesiphon	which	4	4	reject
10	Seleucia	se	3	4	reject
10	Kimchiwith	Kimchiwith	3	4	confirm
10	Canneh	Canneh	4	4	confirm
10	Qrontes	orontes	4	4	reject
10	Epiphania	Epiphania	4	4	confirm
10	Abulfeda	Abulfeda	4	4	confirm
10	Arvad	Arvad	4	4	confirm
10	a	s	3	4	realword?
10	Epiphania	Epiphania	4	4	confirm
10	Antioch	Antioch	3	4	confirm
10	Rabba	Rabba	4	4	confirm
10	Epiphania	Epiphania	4	4	confirm
10	Emissa	Emissa	4	4	confirm
10	Carchejnish	carchemish	4	4	reject
10	Calno	Calno	4	4	confirm
10	Calno	Calno	4	4	confirm
10	Carchemish	car	4	4	reject
10	Carchemish	Carchemish	4	4	confirm
10	Calno	Calno	4	4	confirm
10	nicht	nicht	4	4	confirm
10	nicht	nicht	4	4	confirm
10	anglice	anglice	4	4	confirm
10	tence	isaiah	4	4	reject
10	regna	regna	3	4	confirm
10	nihili	nihili	4	4	confirm
10	rov	zov	2	4	reject
10	regna	regna	4	4	confirm
10	idoli	idoli	4	4	confirm
10	des	breit	4	4	reject
10	Gotzen	Gotzen	4	4	confirm
10	eo	eo	4	4	confirm
10	requirebat	requi	4	4	reject
10	substituitur	substituitur	4	4	confirm
10	requirit	requirit	4	4	confirm
10	veritas	veritas	4	4	confirm
10	rei	rei	3	4	confirm
10	etc	etc'	3	4	realword?
10	Idov	Idov	2	4	confirm
10	bx	x	2	4	reject
10	rpaxs	r	2	4	reject
10	idolis	idolis	4	4	confirm
10	simulacris	simulacris	4	4	confirm
10	psa	psa	2	4	confirm
10	inaa	by	2	4	reject
10	Chebar	Chebar	4	4	confirm
10	Oreb	Oreb	4	4	confirm
10	Thesauro	Thesauro	3	4	confirm
10	ipsx	ipsx	3	4	confirm
10	oflooking	of	3	4	reject
10	herabblicken	er	3	4	reject
10	instructissima	instructissima	4	4	confirm
10	eorum	eorum	4	4	confirm
10	fixa	fixa	4	4	confirm
10	eorum	eorum	4	4	confirm
10	veritatis	veritatis	3	4	confirm
10	irvnin	be	4	4	reject
10	moenia	moenia	4	4	confirm
10	sicut	sicut	4	4	confirm
10	colliguntur	colliguntur	4	4	confirm
10	reciperem	reciperem	3	4	confirm
10	auferrem	auferrem	4	4	confirm
10	wie	wie	4	4	confirm
10	aufrafft	aufrafft	4	4	confirm
10	nsox	and	2	4	reject
10	flatternden	flatternden	3	4	confirm
10	Fliigels	isaiah	4	4	reject
10	abigeret	abigeret	4	4	confirm
10	divagans	divagans	3	4	confirm
10	ssxa	as	2	4	reject
10	pipiendum	pipiendum	3	4	confirm
10	zum	zum	3	4	confirm
10	Gezirp	Gezirp	3	4	confirm
10	pipio	pipio	4	4	confirm
10	Richardson's	Richardson's	4	4	confirm
10	Ctesias	Ctesias	4	4	confirm
10	Berosus	be	4	4	reject
10	Diodorus	Diodorus	4	4	confirm
10	Trogus	Trogus	4	4	confirm
10	xBm	ixsn	2	4	reject
10	bs	bs	2	4	confirm
10	trotzen	trotzen	4	4	confirm
10	briistet	briistet	3	4	confirm
10	D	a	2	2	realword?
10	av	av	3	4	confirm
10	rs	rs	3	4	confirm
10	pluralis	pluralis	4	4	confirm
10	majestaticus	majestaticus	4	4	confirm
10	sraft	bx	2	4	reject
10	ttJ	deut	2	4	reject
10	zra	as	2	4	reject
10	pinguia	pinguia	4	4	confirm
10	rnn	rnn	4	4	confirm
10	ip	ip	4	4	confirm
10	reeino	with	4	4	reject
10	ardebit	ardebit	4	4	confirm
10	ardebit	ceius	4	4	reject
10	ardendo	ardendo	4	4	confirm
10	Rosenmüller	rosenmiiller	3	4	realword?
10	ofjlre	of	4	4	reject
10	igne	igne	4	4	confirm
10	Qyog	qqoq	2	4	reject
10	sume	isaiah	4	4	reject
10	harvestfields	harvest	4	4	reject
10	Musculus	Musculus	4	4	confirm
10	intra	intra	4	4	confirm
10	rbs	n	2	4	reject
10	London	London	4	4	confirm
10	Polyglott	Polyglott	4	4	confirm
10	bt	in	3	4	reject
10	bb	and	2	4	reject
10	fleeing	fleeing	4	4	confirm
10	ri	n	2	4	reject
10	bbb	oob	2	4	reject
10	bbtt	of	2	4	reject
10	standardbearer	standard	4	4	reject
10	Hezel	Hezel	4	4	confirm
10	JM	i	2	4	reject
10	orshall	or	3	4	reject
10	oob	and	3	4	reject
10	ueVi	upon	2	2	reject
10	erit	erit	4	4	confirm
10	terrore	terrore	4	4	confirm
10	profugus	profugus	4	4	confirm
10	wie	wie	3	4	confirm
10	einer	einer	4	4	confirm
10	hinschmachtet	hinschmachtet	4	4	confirm
10	Ohnmacht	Ohnmacht	4	4	confirm
10	ligni	ligni	4	4	confirm
10	reliqua	reliqua	4	4	confirm
10	ligna	ligna	4	4	confirm
10	Horace	Horace	4	4	confirm
10	nos	nos	4	4	confirm
10	numerus	numerus	4	4	confirm
10	sumus	sumus	4	4	confirm
10	Rosenmüller	rosenmiiller	4	4	realword?
10	Cicero	Cicero	4	4	confirm
10	appendantur	appendantur	4	4	confirm
10	numerentur	numerentur	3	4	confirm
10	pecuniae	pecuniae	4	4	confirm
10	Ovid	Ovid	4	4	confirm
10	pauperis	pauperis	4	4	confirm
10	numerare	pecus	4	4	reject
10	Rosenmüller	rosenmiiller	4	4	realword?
10	prae	prae	4	4	confirm
10	paucitate	paucitate	4	4	confirm
10	numerabuntur	numerabuntur	3	4	confirm
10	Brentius	Brentius	4	4	confirm
10	Hagg	Hagg	4	4	confirm
10	pergat	pergat	4	4	confirm
10	August	augusti	4	4	realword?
10	fortfahren	fortfahren	4	4	confirm
10	aufhoren	aufhoren	4	4	confirm
10	hd	and	4	4	reject
10	commontancestor	common	4	4	reject
10	eo	eo	4	4	confirm
10	darunter	darunter	4	4	confirm
10	convertentur	convertentur	4	4	confirm
10	consummatio	consummatio	3	4	confirm
10	Cj	as	3	4	reject
10	ia	the	2	4	reject
10	mit	mit	4	4	confirm
10	Gerechtigkeit	Gerechtigkeit	4	4	confirm
10	abgemessen	abgemessen	4	4	confirm
10	consummatum	consumma	4	4	reject
10	ri	nbs	3	4	reject
10	tj	this	4	4	reject
10	Asshur	Asshur	4	4	confirm
10	smile	smite	3	4	realword?
10	Syro	Syro	4	4	confirm
10	necessaryqualification	necessary	4	4	reject
10	Rosenmüller	rosenmuller	3	4	realword?
10	QX	to	4	4	reject
10	nst	to	2	4	reject
10	MSS	MSS	3	4	confirm
10	cn	cn	2	4	confirm
10	Oreb	orel	2	4	reject
10	Oreb	Oreb	3	4	confirm
10	scutica	scutica	4	4	confirm
10	Horace	Horace	4	4	confirm
10	Syro	Syro	4	4	confirm
10	Antiochus	Antiochus	4	4	confirm
10	Epiphanes	Epiphanes	4	4	confirm
10	Cyprus	Cyprus	4	4	confirm
10	EStt	on	2	4	reject
10	rav	rav	2	3	confirm
10	zv	chap	2	3	reject
10	EttS	in	4	4	reject
10	lo	to	4	4	realword?
10	Lachish	Lachish	4	4	confirm
10	Migron	Migron	4	4	confirm
10	Michmash	Michmash	4	4	confirm
10	Aiath	Aiath	4	4	confirm
10	Hajanam	haj	4	4	reject
10	regionem	anam	4	4	reject
10	Deir	Deir	4	4	confirm
10	Diwan	Diwan	4	4	confirm
10	Migron	Migron	4	4	confirm
10	Migron	Migron	4	4	confirm
10	Migron	Migron	4	4	confirm
10	Gibeah	Gibeah	4	4	confirm
10	Michmash	Michmash	4	4	confirm
10	Mukhmas	mukh	4	4	reject
10	Jeba	Jeba	4	4	confirm
10	Michmash	mich	4	4	reject
10	Geba	Geba	3	4	confirm
10	Gcba	geba	4	4	reject
10	Geba	Geba	4	4	confirm
10	Jeba	Jeba	4	4	confirm
10	Michmash	Michmash	4	4	confirm
10	Geba	Geba	4	4	confirm
10	Gibeah	Gibeah	3	4	confirm
10	Geba	Geba	4	4	confirm
10	pp	pp	4	4	confirm
10	Geba	Geba	4	4	confirm
10	Gibeab	gibeah	4	4	reject
10	Gaba	Gaba	4	4	confirm
10	sedes	sedes	4	4	confirm
10	nostra	nostra	4	4	confirm
10	Geba	Geba	4	4	confirm
10	tob	b	2	4	reject
10	diversorium	diversorium	4	4	confirm
10	diverterunt	diverterunt	4	4	confirm
10	Ajath	Ajath	4	4	confirm
10	Migron	Migron	4	4	confirm
10	Michmash	Michmash	4	4	confirm
10	Geba	Geba	4	4	confirm
10	Ramah	Ramah	4	4	confirm
10	Gibeah	Gibeah	4	4	confirm
10	Ramah	Ramah	4	4	confirm
10	Gibeah	Gibeah	4	4	confirm
10	Jeba	Jeba	4	4	confirm
10	pp	pp	4	4	confirm
10	Nablus	Nablus	4	4	confirm
10	Ramah	Ramah	4	4	confirm
10	Ramah	Ramah	4	4	confirm
10	Geba	Geba	4	4	confirm
10	Ramah	Ramah	4	4	confirm
10	Gibeah	Gibeah	4	4	confirm
10	Ramah	Ramah	4	4	confirm
10	Gibeah	Gibeah	4	4	confirm
10	Gallim	ter	4	4	reject
10	Gallim	Gallim	3	4	confirm
10	Laishah	Laishah	3	4	confirm
10	Anathoth	Anathoth	4	4	confirm
10	Gallim	Gallim	4	4	confirm
10	neighbourhood	neighbourhood	4	4	confirm
10	Gibeah	Gibeah	4	4	confirm
10	Stadt	Stadt	3	4	confirm
10	Gallim	Gallim	4	4	confirm
10	oppidum	oppidum	2	4	confirm
10	Gallim	Gallim	4	4	confirm
10	Augustiread	augusti	3	4	reject
10	gallim	gallim	3	4	confirm
10	Laish	Laish	4	4	confirm
10	Laish	Laish	4	4	confirm
10	Laish	Laish	4	4	confirm
10	Laishah	Laishah	4	4	confirm
10	Laishah	Laishah	4	4	confirm
10	Laishah	Laishah	4	4	confirm
10	Laishah	Laishah	4	4	confirm
10	Laish	Laish	4	4	confirm
10	Gallim	Gallim	4	4	confirm
10	Anathoth	Anathoth	4	4	confirm
10	Anata	Anata	3	4	confirm
10	Anathoth	Anathoth	4	4	confirm
10	Ramleh	Ramleh	4	4	confirm
10	Anathoth	Anathoth	4	4	confirm
10	echoes	echoes	4	4	confirm
10	Bethany	Bethany	4	4	confirm
10	clivity	clivity	4	4	confirm
10	Anathoth	Anathoth	4	4	confirm
10	niras	by	3	4	reject
10	misera	derlein	4	4	reject
10	Anathoth	Anathoth	3	3	confirm
10	paupercula	paupercula	4	4	confirm
10	Anathoth	Anathoth	4	4	confirm
10	Madmenah	isaiah	4	4	reject
10	Gebimflee	gebim	2	4	reject
10	Madmen	Madmen	4	4	confirm
10	Madmannah	Madmannah	4	4	confirm
10	JiPSh	wsrt	2	4	reject
10	confortamini	confortamini	4	4	confirm
10	fleeing	fleeing	4	4	confirm
10	Anathoth	Anathoth	4	4	confirm
10	Lydda	Lydda	4	4	confirm
10	for'a	for	3	4	reject
10	hitt	hill	4	4	reject
10	soa	but	2	4	reject
10	counsellors	counsellors	4	4	confirm
10	nx	x	2	4	reject
10	oso	d	2	4	reject
11	Bauer	Bauer	2	4	confirm
11	vald	also	3	3	reject
11	xoQfiov	y	2	4	reject
11	scientiae	scientiae	4	4	confirm
11	pietatis	pietatis	4	4	confirm
11	odours	odours	4	4	confirm
11	Hensler	Hensler	4	4	confirm
11	Kuinol	Kuinol	4	4	confirm
11	irmn	irmn	2	4	confirm
11	Vanderpalm	Vanderpalm	4	4	confirm
11	Nihil	Nihil	4	4	confirm
11	nisi	nisi	4	4	confirm
11	pietatem	pietatem	3	4	confirm
11	spirabit	spirabit	4	4	confirm
11	Reinhart	rius	4	4	reject
11	odour	odour	4	4	confirm
11	Rosenmüller	rosenmuller	2	4	realword?
11	odour	odour	4	4	confirm
11	feits	isaiah	4	4	reject
11	a	n	2	3	realword?
11	nn	commonly	2	4	reject
11	rumours	rumours	4	4	confirm
11	jThe	sight	4	4	reject
11	Kokba	Kokba	4	4	confirm
11	Kozba	Kozba	4	4	confirm
11	in'nsi	lation	4	4	reject
11	L	i	4	4	realword?
11	rpsi	n	2	4	reject
11	rumours	rumours	4	4	confirm
11	undoubt	undoubt	4	4	confirm
11	edly	edly	4	4	confirm
11	Aelian	Aelian	4	4	confirm
11	fia	da	2	4	reject
11	s	a	2	2	realword?
11	Maimonides	Maimonides	4	4	confirm
11	rophecy	as	4	4	reject
11	hordei	hordei	4	4	confirm
11	stipulam	stipulam	4	4	confirm
11	bubus	bubus	3	4	confirm
11	gratissimam	gratissimam	3	4	confirm
11	plures	plures	4	4	confirm
11	gentium	gentium	4	4	confirm
11	foeno	utuntur	3	4	reject
11	utuntur	pliny	3	4	reject
11	ISE	properly	2	4	reject
11	depulsus	depulsus	4	4	confirm
11	lacte	lacte	4	4	confirm
11	der	der	4	4	confirm
11	kaum	kaum	4	4	confirm
11	Entwohnte	entwohn	4	4	reject
11	iah	ion	2	4	reject
11	lafiid	daftd	2	4	reject
11	nj'o	his	3	4	reject
11	uj	is	4	4	reject
11	bji	by	4	4	reject
11	ausstrecken	ausstrecken	4	4	confirm
11	O'T	vulg	3	4	reject
11	adjiciet	adjiciet	3	4	confirm
11	manum	manum	3	4	confirm
11	aat	clericus	2	4	reject
11	Parthia	par	4	4	reject
11	Pharusis	Pharusis	4	4	confirm
11	Patures	Patures	4	4	confirm
11	Adrichomius	Adrichomius	4	4	confirm
11	Jablonsky	Jablonsky	4	4	confirm
11	Shinar	Shinar	4	4	confirm
11	Elymais	Elymais	4	4	confirm
11	Orontes	Orontes	4	4	confirm
11	refugee	refugees	4	4	realword?
11	ior	vulg	2	4	reject
11	merismus	merismus	4	4	confirm
11	parallage	parallage	4	4	confirm
11	elliptica	elliptica	4	4	confirm
11	pre	pre	4	4	confirm
11	Jephtha	Jephtha	4	4	confirm
11	Baasha	Baasha	4	4	confirm
11	Ahab	Ahab	4	4	confirm
11	Jehoash	Jehoash	4	4	confirm
11	ib	ib	4	4	confirm
11	Rosenmüller	rosenmiiller	3	4	realword?
11	Tn's	the	2	4	reject
11	der	der	4	4	confirm
11	Neid	Neid	4	4	confirm
11	aufhoren	aufhoren	4	4	confirm
11	rno	rno	2	4	confirm
11	Ammon	amnion	4	4	realword?
11	nnn	is	3	4	reject
11	S'nnn	mnn	2	4	reject
11	Rosenmüller	rosenmuller	3	4	realword?
11	Suez	Suez	4	4	confirm
11	HeroopoKtanut	her	2	4	reject
11	Elaniticus	Elaniticus	3	4	confirm
11	Gyndes	Gyndes	4	4	confirm
11	intepretations	intepretations	4	4	confirm
11	munita	munita	4	4	confirm
11	SPSS	with	3	4	reject
12	or	for	2	2	realword?
12	xb	xb	3	4	confirm
12	JTW	of	2	4	reject
12	rrjiTi	knobel	4	4	reject
12	Jcnoivn	known	4	4	reject
12	nrm	in	4	4	reject
12	hs	s	3	4	reject
12	stpa	may	2	4	reject
13	facto	facto	4	4	confirm
13	Rosenmüller	rosenmiiller	2	4	realword?
13	foreseen	foreseen	4	4	confirm
13	unbiassed	unbiassed	4	4	confirm
13	Horace	Horace	4	4	confirm
13	Virgil	Virgil	4	4	confirm
13	Plaideurs	Plaideurs	4	4	confirm
13	Racine	Racine	4	4	confirm
13	Aris	Aris	4	4	confirm
13	tophanes	tophanes	4	4	confirm
13	Shakspeare	Shakspeare	4	4	confirm
13	hyperbolical	hyperbolical	4	4	confirm
13	antitheocratic	antitheocratic	4	4	confirm
13	rs	prophet	4	4	reject
13	oQapa	soapa	2	4	reject
13	fia	from	3	4	reject
13	visio	visio	3	4	confirm
13	Christologie	Christologie	4	4	confirm
13	caliginosum	caliginosum	4	4	confirm
13	OQOV	oqovg	2	4	reject
13	Zagrian	Zagrian	4	4	confirm
13	iKa'n	kingdoms	3	4	reject
13	avol	avoi	2	4	reject
13	ol	ol	2	4	confirm
13	ingrediantur	ingrediantur	4	4	confirm
13	veniant	veniant	4	4	confirm
13	portae	portae	4	4	confirm
13	principum	principum	4	4	confirm
13	voluntarii	voluntarii	4	4	confirm
13	aperite	isaiah	4	4	reject
13	veniant	veniant	4	4	confirm
13	evaginati	evaginati	4	4	confirm
13	meine	meine	3	4	confirm
13	Freywillige	Freywillige	3	4	confirm
13	sich	sich	4	4	confirm
13	vor	vor	4	4	confirm
13	Pforte	Pforte	4	4	confirm
13	versammlen	versammlen	4	4	confirm
13	I	j	2	3	realword?
13	heroes	heroes	4	4	confirm
13	exulters	exulters	4	4	confirm
13	Lehrg	Lehrg	3	4	confirm
13	ttJ	word	2	4	reject
13	w	c	2	4	realword?
13	Rosenmüller	rosenmuller	3	4	realword?
13	August	augusti	2	2	realword?
13	exulters	exulters	4	4	confirm
13	exulters	exulters	4	4	confirm
13	Croesus	Croesus	4	4	confirm
13	savrovs	savrovg	2	4	reject
13	Marcellinus	mianus	2	2	reject
13	abundantes	abundantes	4	4	confirm
13	inanibus	inanibus	4	4	confirm
13	verbis	verbis	4	4	confirm
13	insanumque	insanumque	4	4	confirm
13	loquentes	loquentes	4	4	confirm
13	ferum	isaiah	4	4	reject
13	magnidici	magnidici	4	4	confirm
13	ac	ac	4	4	confirm
13	tetri	tetri	3	4	confirm
13	minaces	minaces	3	4	confirm
13	juxta	juxta	4	4	confirm
13	adversis	adversis	3	4	confirm
13	ac	ac	4	4	confirm
13	prosperis	pros	4	4	reject
13	callidi	peris	4	4	reject
13	superbi	callidi	4	4	reject
13	Armenia	Armenia	4	4	confirm
13	Musculus	Musculus	4	4	confirm
13	Rosenmüller	rosenmiiller	3	4	realword?
13	Xenophon	Xenophon	4	4	confirm
13	Croesus	Croesus	4	4	confirm
13	Cyropedia	Cyropedia	4	4	confirm
13	ybr	for	2	2	reject
13	Michlol	Michlol	4	4	confirm
13	Jophi	Jophi	4	4	confirm
13	co	co	4	4	confirm
13	nacav	naaav	3	4	reject
13	irtv	i	2	4	reject
13	uxovftbtp	v	2	4	reject
13	lusus	lusus	4	4	confirm
13	verborum	verborum	3	4	confirm
13	concinna	concinna	4	4	confirm
13	allusio	allusio	4	4	confirm
13	etymologiam	etymologiam	3	4	confirm
13	veritatis	veritatis	4	4	confirm
13	ifh	if	4	4	reject
13	genere	genere	4	4	confirm
13	Domini	Domini	4	4	confirm
13	dicuntur	dicuntur	4	4	confirm
13	divinitus	divinitus	3	4	confirm
13	quibus	quibus	4	4	confirm
13	judicium	judicium	4	4	confirm
13	exercet	exercet	4	4	confirm
13	omne	omne	4	4	confirm
13	aegrorum	aegrorum	4	4	confirm
13	mortalium	mortalium	4	4	confirm
13	Ovid	Ovid	4	4	confirm
13	cecidere	cecidere	2	4	confirm
13	illis	illis	3	4	confirm
13	animique	animique	3	4	confirm
13	manusque	manusque	4	4	confirm
13	Livy	Livy	4	4	confirm
13	capere	isaiah	3	4	reject
13	metum	metum	2	4	confirm
13	fshb	c	2	4	reject
13	Lubim	Lubim	4	4	confirm
13	Africans'	africans	3	4	realword?
13	internum	internum	4	4	confirm
