篇	串	上下文
34	m.e	answered me, and from all my fears delivered m.e.* He here begins to assign a reason why he an
34	^doctrine	xpression occurs also in Isa. xxxiv, 16. The ^doctrine or promise of this verse is analogous to tha
35	^in	 devisers of my hurt.* Entirely disappointed ^in their hopes and efforts. The optative meanin
35	dark^	 class="ax-vnum">6.</span> *Let their way be dark^ and slippery, and the angel of Jehovah chasi
35	phrase^	h him and possession of him, as the parallel phrase^ *in his salvation,* means in the experience 
35	|but	 The Hebrew phrase usually means *how much,* |but is here specially applied to time; *how much
35	secretly^	 have swallowed him up! In their heart,* not secretly^ but cordially, not as opposed to saying so t
37	instead.of	. *And wait for him,* allow him time to act, instead.of attempting to act for him. *Fret not thyself
37	satisfied^	 or *needy,* in ver 14 above.—*They shall he satisfied^* or *filled,* but only in a good sense, with
38	0^^&lt	אי שקר means *my enemies of falsehood, חיים* 0^^&lt; may mean *my enemies of life,* those who ha
39	complaint^	d reference merely to repining and undutiful complaint^ not to prayer, which he immediately subjoins
40	declare^	nd after, it is safer to retain it. *1 would declare^* literally *I will declare,* the form of the
40	rites^	ed—not by mere oblations or other ceremonial rites^ To express this idea he combines four techni
40	Jehovah^	eeking thee. They shall say always, Great be Jehovah^—(those) loving thy salvation.* The structure
41	thee^	. 4, 5, 19 (3, 4, 18), xl. 13 (12). *Against thee^* literally *to thee, as to thee.* The idea o
41	bounty^	d,* enjoying my society and subsisting on my bounty^ while he omits the other two, because these 
41	this^	 enemies. *Make me to rise,* help me up from this^ bed of weakness and suffering, with obvious 
41	firm»	 *Amen* is a Hebrew verbal adjective meaning firm»?, *sure, certain, true.* It is used as an exp
45	dignity-	as a badge of office and especially of royal dignity- See above, on Ps. xxiii. 4. *Rectitude,* in 
45	xliii.4	 0 God, hath anointed thee, &c.* Compare Ps. xliii.4, li. 15(14). But the more obvious constructi
45	iii.1	xiv. 12 (11), and compare Prov. i. 8, ii. 1, iii.1,, iv. 1, &c. Or the Psalmist may be understo
45	desire^	him.* The common version *(so shall the king desire^ &c.)* is inconsistent with the form of the H
46	foam^	>(3).</span></span> *Let its waters roar and foam^ let mountains tremble in its swelling. Selah
46	^the	i. e.* Jerusalem, his earthly residence, and ^the centre of the theocracy. See below, Ps. xlvi
48	mizmôr	he Sons of Korah.* The generic term *'psalm (mizmôr)* is rendered more specific by the addition 
48	shîr	ered more specific by the addition of *song (shîr),* which commonly denotes a song of praise. 
50	applied.to	ve of no inward faith or love. But now it is applied.to him who actually violates the law which he p
51	in^	e case of Peter (Luke xxii. 32). *Within me, in^ the midst* (or *in the inside) of me.* The s
53	liii.-	m* thrice. This difference seems to mark Ps. liii.- as the later composition, in which the write
56	are^	All the day my words they wrest; against me {are^ all their thoughts for evil.* The word trans
56	me»	 may be also rendered *to me,* he belongs to me» he is my God, which of course includes the i
58	ba-	 But as the derivative noun (פֶּלֶס) means a ba- V V lance (Prov. xvi. 11, Isa. xl. 12), the 
58	ex->	s may be disarmed and disabled. This idea is ex-> pressed by the use of the same figure as in 
59	God/	pan class="ax-veng">(10).</span></span> *My* God/(with) *his mercy will meet me; God will make
61	Hear^	>2 <span class="ax-veng">(1).</span></span> *Hear^ 0 God, my cry; attend unto my prayer!* The p
62	To.pour	sons, but people, of God, his chosen people. To.pour out the heart is a natural and lively figure
62	%unto	trength* (belongeth) *unto God, and* (that) *%unto thee, 0 Lord,* (belongeth) *mercy,* (but) *t
64	sharpened^	class="ax-veng">(3).</span></span> *Who have sharpened^ like the sword, their tongue, have strung th
64	fear^	ss="ax-veng">(9).</span></span> *And all men fear^ and pronounce (if) God's doing, and his work
65	^Soften	usage, denotes frequent and abundant rains. *^Soften,* dissolve, or loosen it. The Hebrew verb is
66	praise^	 his name; give* (him) *honour,* (give) *him praise^* The *honour* or *glory of his name* is that
66	^constantly	lause is expressive of habitual action, " he ^constantly, habitually rules." See above, Ps. xxii. 29 
67	Psalm^	sician. With (or on) stringed instruments. A Psalm^ a Song, i. e.* a psalm of praise. See above,
68	mentioned^	 so. The only meaning, besides those already mentioned^, which has any probability, is that of *fold
68	xxii.-30	prosperous and potent men. See above, on Ps. xxii.-30 (29). From this word is supposed to be deriv
69	m.e	"ax-veng">(12).</span></span> *They think of m.e,* imagine things against me, *they who sit i
69	D7li^	d belongs to several collateral derivatives (D7li^, *u>^,* D^li^, it has no existence in the us
69	u>^	s to several collateral derivatives (D7li^, *u>^,* D^li^, it has no existence in the usage of
69	D^li^	everal collateral derivatives (D7li^, *u>^,* D^li^, it has no existence in the usage of the one
69	Rom^	ws (Mat. xxiii. 38), as Paul did afterwards (Rom^ xi. 9, 10). The general doctrine of providen
69	people..This	edge of greater favours to the body of God's people..This is peculiarly appropriate in such a case as 
72	^and	.</span> *Before him shall crouch wild (men),^and his enemies the dust shall lick.* The first 
73	They^	s in the last clause of the foregoing verse. They^ speak as if they thought themselves superior
74	^^people	ect is easily supplied, namely, *us* or *thy ^^people,* its omission adds to the strength of the e
74	^writers	ruction of the second clause adopted by some ^writers, *the enemy has destroyed all* (or *every th
74	^thine	tuitous. The plural form which some assume *(^thine assemblies)* varies the meaning only by sugg
74	■^writer's	 a word not expressed, though present to the ■^writer's mind. *At once* does not mean quickly, sudde
75	Idumæa	ains,* a description eminently applicable to Idumæa and Arabia Petraea. The essential idea is st
76	m.ore	</span></span> *Bright (art) thou, glorious, m.ore than the mountains of prey.* The object of a
77	muse^	</span></span> *I remember God and murmur; I muse^ and overwhelmed is my spirit. Selah.* The re
78	xlii.1	e or inscription. See above, on Ps. xxxii. 1,xlii.1,lii. l,&c. The Asaph meant, as we have seen,
78	Utter^	the early period of our national existence. *Utter^* literally pour forth, cause to flow or gush
78	of-	is merely the protasis or conditional clause of- the sentence completed in the next verse. Th
78	be_translated	e effect but the intention. It may therefore be_translated *flattered,* although this is not the strict
81	thyself.-	. *Worship,* literally bow down or prostrate thyself.- *A foreign god,* a god of strangeness, or be
82	wrong^	="ax-vnum">2.</span> *How long will ye judge wrong^ and the faces of wicked men accept? Selah.* 
82	Deut.^xxv	 such by a judicial act. See Exod. xxiii. 7, Deut.^xxv. 1, and compare 2 Sam. xv. 4, Isa. V. 23, 1. 
83	mizmôr	salm. By Asaph.* To the general description (mizmôr), there is here prefixed a more specific one
83	shîr	there is here prefixed a more specific one *(shîr),* which designates the composition as a son
83	w^ord	same relation to act that the others have to w^ord or speech. The use of this divine name (אֵל;
83	nation^	 Come and let us destroy them from (being) a nation^ and let not the name of Israel be remembered
83	/s	d* (men) *shall know that thou, whose name* (/s) *Jehovah, (art) alone Most High over all th
84	blessings^	gle vowel-point, may mean either *pools* or *blessings^* and the next, though it commonly means *tea
85	Glory_has	r idiom, *that glory may dwell in our land.* Glory_has the same sense as in Ps. lxxxiv. 12 (11). *D
86	proud^	. But instead of *aliens,* he here speaks of proud^ *ones,* and before the parallel term *violen
87	w^as	including all the heights on which Jerusalem w^as built. It was peculiarly appropriate in this
89	eternity^	cies of David. For For ever,,er,* literally *eternity^* the noun being used adverbially, as its plu
89	heavens^	 said, For ever shall mercy he built up. The heavens^ thou wilt fix thy faithfulness in them.* The
89	saidst	ou spakest in vision to thy gracious one and saidst, I have laid help on a Mighty (Man); I have 
90	race>	to appear not only *to* but *on* the younger race> *i. e.* in their own experience. <span clas
92	-for	an></span> *For lo, thine enemies, Jehovah*—*-for la, thine enemies shall perish; dispersed sh
92	my/	).</span></span> *And my eye has looked upon my/ enemies; of those rising up against* w?, *ev
93	with^	o the powers of this world. *Clothes himself with^* literally puts on, wears. The other verb is
102	præterita	 has been seen in his glory.* These are not *præterita prophetica,* describing future events as pas
103	one\	article prefixed, *the (one) forgiving, the {one\ healing.* See a similar construction carried
103	xl.7	xvii. 10. With the first clause compare Isa. xl.7; with the second, Job vii. 10. The last verb
104	striking^	r.* The first is more obvious, the last more striking^ as it represents a solid building, made of a
104	>writer's	amiliar form of words in which to clothe the >writer's own idea, which is this, that angels are mer
104	Filled^	e result or product of thy creative energy. *Filled^* not in the sense of being occupied, which w
105	of.the	ought to identify the two psalms as the work of.the same author. <span class="ax-anchor" id="ps
105	xv.-16	ms of the last clause are derived from Exod. xv.-16, Deut. xi. 25. <span class="ax-anchor" id="
106	him-	ses his elect had stood in the breach before him-, to turn back his wrath from destroying.* Th
106	the^pollution	f the last clause of ver. 38, and shews that the^pollution of the land was nothing more nor less than t
107	w^ord	ple, to which there is here no allusion. The w^ord translated *increase* is applied elsewhere t
109	praise^	Chief Musician. By David. A Psalm. God of my praise^ he not silent.* The first inscription was pa
109	xli.34	y or charge over another. See Gen. xxxix. 5, xli.34. Num. i. 50, and compare Lev. xxvi. 16, Jer. 
109	guilty^	.</span> *When he is tried he shall go forth guilty^ and his prayer shall* be *for sin.* The futu
109	or.after	t off,* literally for cutting off. *The next or.after generation,* as in Ps. xlviii. 14 (13). The 
110	Thus^	avidic trilogy. See above, on Ps. cviii. 1. *Thus^ saith Jehovah,* or more exactly, *a dictum* 
110	-people	e agreeing with the masculine singular noun *-people.* The idea, however, is the same, but express
110	\wrath	of the description. The objects of Jehovah's \wrath and the Messiah's strokes are not to be mere
110	præteritum	 the verb may be regarded as an instance of *præteritum phropheticum,* describing what is certainly 
111	righteousness^	 other places, this work is referred to his *righteousness^* not his *justice,* in the technical and str
112	righteous^	 been said to endure for ever as well as his righteous^ ness, *i. e.* his recognition and reception 
113	perpetual^	. The wish expressed in this verse implies a perpetual^ continuation or renewal of the evidence alre
113	-from	>7.</span> *Raising from the dust the poor*—*-from the dunghill he will lift the needy.* The me
115	worship-	rasted with the impotence of idols and their worship- *Psalm 115:]-7 All* pers, ver. 3-8, and urge
115	but.of	Ps. cvi. 38. *Hands of man,* not of *a man,* but.of *mankind, i. e.* human hands. With this whol
116	-for	lass="ax-vnum">16.</span> *Ah now, Jehovah*—*-for I (am) thy servant, I (am) thy servant, the 
118	-for	-vnum">2.</span> *Oh that Israel would say*—*-for unto eternity (is) his mercy.* The first cla
118	mercy.^	aron would say*—*'for unto eternity (is) his mercy.^ Oh that the fearers of Jehovah would say*—*'
118	Ps.xxx	s applied even to a cry of distress. Compare Ps.xxx. 6 (5),xlii. 5(4),xlvii. 2(l),with Ps. xvii. 
119	con-	ast tense *(has quickened)* implies that the con- conservative or restorative effect has alrea
119	of-	here ends, three verses begin with some form of- the verb (")!)?) *to remember,* and two with
119	judgment^	xviii. 39, lxxxix. 48, 49 (47, 48). *Execute judgment^* or *do justice,* as in Ps. ix. 5 (4). <spa
119	-for	"ax-vnum">94.</span> *Thine am I*—*save me*—*-for thy j)recepts I have sought.* The original f
119	-for	 *My hiding-place and my shield (art) thou*—*-for thy word I wait, i.e.* for the fulfilment of
119	sam.e	only in a single letter from the verb of the sam.e meaning used in ver. 40, 174, which also is 
121	\up	h the form of the orignal. *Let him not give \up to moving thy foot.* See above, Ps. xxxviii.
122	standing^	ith the participle means strictly *have been standing^ i. e.* have begun to stand, or are already s
125	fa.te	 ver. 4, and a prophetic anticipation of the fa.te of the ungodly, ver. 5. The condition of the
128	-for	/span><span class="ax-vnum">4.</span> *See*—*-for so shall be blessed the man fearing Jehovah.
130	but^easily	he for has reference to a thought suppressed but^easily supplied. Since none can stand, 0 Lord, forg
136	-for	/span> *Give thanks unto the Lord of lords*—*-for unto eternity (is) his mercy.* The *Lord of 
136	-for	 brought out Israel from the midst of them*—*-for unto eternity (is) his mercy.* Here for the 
136	-for	*To him that parted the Bed Sea into parts*—*-for unto eternity (is) his mercy. Parted* and *p
136	-for	ade Israel to pass through the midst of it*—*-for unto eternity (is) his mercy.* Here again we
136	-for	>17.</span> *To him that smote great kings*—*-for unto eternity (is) his mercy.* Compare the p
139	dig^	st me.* The Hebrew verb originally means to *dig^* and is applied to the search for precious m
139	plea-	 of my strongest sensibilities, my pains and plea- 548 *pleasures 139:14 - 16* sures; and this 
139	expression.is	art; try me, and know my thoughts.* The last expression.is emphatic, meaning even my most anxious and d
139	understand/	f this is *a way of eternity,* by which some understand/ an everlasting way, as distinguished from th
142	\art	compare Ps. xxxi. 15 (14), xli. 5 (4). *Thou \art) my refuge,* as in Ps. lxii. 8 (7), lxxi. 7.
144	myriads^	 our flocks bearing thousands, multiplied by myriads^ in our streets.* From kind to kind seems to 
148	in.antithesis	rth and its inhabitants. *From the earth* is in.antithesis *to from the heavens* in ver. 1. *Earth* her
149	grace-	the objects of his mercy and subjects of his grace- The psalm ends as it began, with *Hallelujah
