序号	篇	书页	我们几个	影像几个	两遍是否一致	影像位置	段落
23	20	101	3	2	一致	the conjectural translation, ^ may we set up ‖ (or display) a banner.^ But as the participle	6 (5). *May we rejoice in thy deliverance, and in the name of our God display a banner! Ma
24	22	106	11	8	不一致	abandonment on God's part. ^ Why hast thou left ‖ myself finally deserted ? ^ The use of these ‖ the idea of my strength. ^ Why hast thou, whom ‖ me in this extremity ? ^ The last clause admits ‖ several constructions. ^ Far from my deliverance ‖ the words of my roaring, ^ i. e. they are ‖ the words of my roaring ? ^ Or the same idea ‖ by a simple affirmation : ^ (Thou art) far from	2 (1). *My God, my God, why hast thou forsaken me, far from my deliverance, the words of m
25	22	111	1	NONE	一致		18 (17). *I tell all my hones* (while) *they look and stare upon. me.* The pronoun of the 
26	25	121	1	NONE	一致		The first of the alphabetical psalms, in which the verses begin with the different Hebrew 
27	28	131	1	1	不一致	sufferer prays that he may ^ not be confounded with	As in the preceding psalm, a righteous sufferer prays that he may "not be confounded with 
28	32	147	1	NONE	一致		8. *I will instruct thee, and will guide thee, in the way which thou shalt go; I will coun
29	33	150	1	1	不一致	; the second, that ^ the phrase *it was done*	9. *For* (it was) *He* (that) *said* (Be), *and it was;* (it was) *He* (that) *commanded, 
30	34	152	1	NONE	一致		As to its form, this is the second instance of an alphabetical psalm, approaching very nea
31	37	171	1	NONE	一致		20. This verse shews how the truth of the foregoing promises can be consistent with the ac
32	37	172	3	2	不一致	to the true Israel. ^ For the ‖ they shall not rule. ^ Deut. xv. 6,	21. *Borrowing,* a habitual borrower, (is) *the wicked, and he will not pay, i. e.* he can
33	38	179	3	4	一致	own mind when he ^ held his ‖ he " held his peace ^ before the High Priest ‖ xxvi. 62, 63), and ^ gave no answer ‖ and " gave no answer ^ to the Roman Governor	14 (13). *And I, as a deaf* (man)*, will not hear, and as a dumb* (man) *will not open his
34	4	31	1	NONE	不一致		3 (2). *Sons of man!* In Hebrew, as in Greek, Latin, and German, there are two words answe
35	41	192	1	1	不一致	means spite or malice. ^ The ambiguous phrase to me	6 (5). *My enemies will say evil to* (or *as to) me: when shall he die and his name perish
36	41	192	1	NONE	一致		7 (6). *And if he come to see me, falsehood he will speak;* (in) *his heart he is gatherin
37	43	202	1	NONE	一致		4. *And I shall come,* as an expression of strong confidence that God will save him from h
38	49	231	1	NONE	一致		21 (20). *Man* (that is) *in honour ani understandeth not is likened to the beasts* (that)
39	5	35	1	2	不一致	to those ^ groanings which cannot ‖ which cannot be uttered, ^ but are no less	2 (1). *To my words, O Lord,* Jehovah, *give ear, perceive my thought.* Attend not only to
40	51	238	1	NONE	一致		6 (4). *To thee, thee only, have I sinned, and done the evil in thine eyes, to the intent 
41	53	248	1	NONE	一致		4 (3). *All of it has apostatised; together they have putrefied; there is none doing good;
42	55	254	1	NONE	一致		16 (15). *Desolations* (are) *upon them! They shall go down to Sheol alive! For evils are 
43	57	260	1	1	一致	emergencies of other ^ saints. It is not	1. *To the Chief Musician. Destroy not. By David. A Secret. When he fled from before Saul 
44	58	265	1	NONE	一致		7 (6). *O God, crush their teeth in their mouth; the grinders of the young lions shatter, 
45	58	265	1	NONE	一致		8 (7). *Let them melt away as waters, let them go their way; let him bend his arrows, as i
46	59	270	3	4	一致	after a conditional clause— ^ if they are ‖ they shall remain all night ^ —or ‖ all night"—or ^ though they be not ‖ must they remain all night. ^	16 (15). *They shall wander* (in quest of something) *to eat,* (and) *if they are not sati
47	73	317	1	NONE	一致		20. *As a dream on waking, Lord, in waking, their image thou wilt scorn.* The word transla
48	81	354	1	NONE	一致		4 (3). *blow, in the month, the trumpet, at the full moon, on the day of our feast.* The m
49	84	363	1	1	不一致	really existing, ing, ^ and the giver of	3 (2). *Longs and also faints my soul for the courts of Jehovah, my heart and my flesh; th
50	87	372	1	NONE	一致		4. *I will mention Rahab and Babylon as knowing me. Lo, Philistia and Tyre with Ethiopia! 
51	89	385	3	3	不一致	understood. ^ Why hast thou made ‖ filled with suffering ? ^ Or, ‖ suffering ? " Or, ^ why dost thou give	48 (47). *Remember what duration I have; why* (for) *nought hast thou created all the sons
52	90	388	1	NONE	一致		3. *Thou turnest man even to dust, and sayest, Return, sons of Man* (or *Adam)!* The evide
53	90	390	11	10	不一致	govern the same object. ^ Who knows the ‖ power of thine anger ? ^ " So make us ‖ of thine anger ?" ^ So make us know ‖ (the power of thine anger). ^ The first words of ‖ knowledge was desired. ^ In order that we ‖ our own mortality. ^ The common version of ‖ interpreters suppose, ^ we will bring into ‖ a heart of wisdom, ^ or " we will bring ‖ of wisdom," or ^ we will bring (as ‖ a heart of wisdom, ^ with allusion to Gen.	12. *To number our days thus make us know, and we will bring a heart of wisdom.* The verb 
54	98	409	1	NONE	一致		1. *A Psalm Sing ye to Jehovah a new song, for wonders he has done; his right hand has wro
